"station_id","name","latitude","longitude","func_capacity","is_renting","is_returning"
3497,"Pleasant Ave & E 116 St",40.7949879,-73.9333349,23,TRUE,TRUE
270,"Adelphi St & Myrtle Ave",40.69308257,-73.97178913,23,TRUE,TRUE
3128,"21 St & 43 Ave",40.75052534,-73.94594845,23,TRUE,TRUE
157,"Henry St & Atlantic Ave",40.69089272,-73.99612349,23,TRUE,TRUE
229,"Great Jones St",40.72743423,-73.99379025,23,TRUE,TRUE
248,"Laight St & Hudson St",40.72185379,-74.00771779,23,TRUE,TRUE
343,"Clinton Ave & Flushing Ave",40.69794,-73.96986848,23,TRUE,TRUE
3720,"Wyckoff St & Bond St",40.68461653897949,-73.98721285164356,23,TRUE,TRUE
328,"Watts St & Greenwich St",40.72405549,-74.00965965,23,TRUE,TRUE
3125,"45 Rd & 11 St",40.74708586,-73.94977234,23,TRUE,TRUE
3620,"11 St & 43 Ave",40.7519071,-73.9479119,23,TRUE,TRUE
418,"Front St & Gold St",40.70224,-73.982578,23,TRUE,TRUE
3298,"Warren St & Court St",40.686371,-73.99383324,23,TRUE,TRUE
3052,"Lewis Ave & Madison St",40.686312,-73.935775,23,TRUE,TRUE
3768,"Waterbury St & Stagg St",40.71019,-73.93734,23,TRUE,TRUE
419,"Carlton Ave & Park Ave",40.69580705,-73.97355569,23,TRUE,TRUE
3622,"E 128 St & Madison Ave",40.80756,-73.939182,23,TRUE,TRUE
443,"Bedford Ave & S 9 St",40.70853074,-73.96408963,23,TRUE,TRUE
3524,"19 St & 24 Ave",40.7774552,-73.9225403,23,TRUE,TRUE
258,"DeKalb Ave & Vanderbilt Ave",40.68940747,-73.96885458,23,TRUE,TRUE
313,"Washington Ave & Park Ave",40.69610226,-73.96751037,23,TRUE,TRUE
3070,"McKibbin St & Manhattan Ave",40.70510918,-73.94407279,23,TRUE,TRUE
3398,"Smith St & 9 St",40.6746957,-73.99785768,23,TRUE,TRUE
3469,"India St & West St",40.73181401720966,-73.95995020866394,23,TRUE,TRUE
3749,"Lexington Ave & E 36 St",40.747573958954796,-73.9788007736206,23,TRUE,TRUE
245,"Myrtle Ave & St Edwards St",40.69327018,-73.97703874,23,TRUE,TRUE
354,"Emerson Pl & Myrtle Ave",40.69363137,-73.96223558,23,TRUE,TRUE
3716,"40 Ave & Crescent St",40.753599202005596,-73.93795609474182,23,TRUE,TRUE
3876,"Forest Ave & Summerfield St",40.69922,-73.89795,23,TRUE,TRUE
3062,"Myrtle Ave & Marcy Ave",40.69539817,-73.94954908,23,TRUE,TRUE
3339,"Berkeley Pl & 6 Ave",40.6765304,-73.97846879,23,TRUE,TRUE
3361,"Carroll St & 6 Ave",40.6740886,-73.9787282,23,TRUE,TRUE
3514,"Astoria Park S & Shore Blvd",40.7767,-73.927631,23,TRUE,TRUE
3777,"Stockholm St & Wilson Ave",40.699304,-73.923044,23,TRUE,TRUE
3577,"34 Ave & 21 St",40.7628138,-73.9342862,23,TRUE,TRUE
420,"Clermont Ave & Lafayette Ave",40.68764484,-73.96968902,23,TRUE,TRUE
3343,"W 107 St & Columbus Ave",40.7997568,-73.9621128676,23,TRUE,TRUE
3614,"Crescent St & 30 Ave",40.768692,-73.9249574,23,TRUE,TRUE
3769,"White St & Johnson Ave",40.707174,-73.93581,23,TRUE,TRUE
216,"Columbia Heights & Cranberry St",40.70037867,-73.99548059,23,TRUE,TRUE
241,"DeKalb Ave & S Portland Ave",40.68981035,-73.97493121,23,TRUE,TRUE
344,"Monroe St & Bedford Ave",40.6851443,-73.95380904,23,TRUE,TRUE
